,ts,target
0,"[-2.35380387e-22  2.55686590e-22 -1.11153387e-22 ...  1.91184471e-22
 -2.74949655e-22  5.56977860e-22]",1
1,"[-1.26751340e-22 -2.19937221e-22  3.50245790e-22 ...  5.59096229e-23
  1.34272181e-22 -2.42805557e-22]",1
2,"[ 2.22854560e-22 -5.38731533e-23  1.16081517e-22 ... -1.05760508e-22
 -1.46625511e-22 -4.46550992e-23]",1
3,"[-3.64519880e-22 -5.12569477e-23 -2.51967005e-22 ... -5.23355000e-22
 -2.14941106e-22  4.78621756e-23]",1
4,"[ 1.00355124e-22  4.68811374e-24  1.23252926e-22 ... -6.03417543e-23
 -3.25113952e-22  1.54576743e-22]",1
5,"[-1.00099304e-22 -2.62890990e-22  1.75433503e-22 ...  1.44685923e-22
  1.30570428e-23 -7.47399020e-23]",0
6,"[ 2.71848346e-22 -6.10459482e-23  1.90166656e-22 ...  9.04635919e-23
 -3.52715571e-22  4.90486238e-22]",0
7,"[-1.49808476e-22 -1.70358194e-22  4.56636860e-22 ... -4.46981650e-23
  2.02129475e-22 -3.46787952e-22]",1
8,"[-6.82465395e-23 -1.71024114e-22  1.35011325e-22 ...  4.10943874e-22
 -3.62677766e-22 -1.62117345e-22]",1
9,"[-6.28848593e-23  1.34317435e-22  5.00921200e-23 ...  5.31949741e-23
 -3.51100093e-23 -2.50425811e-22]",1
10,"[-5.75682542e-22  6.33831262e-22  2.08662184e-22 ...  8.71265544e-23
 -4.77754251e-23  1.71153568e-23]",1
11,"[-2.95615848e-22  4.60085072e-22 -1.00612728e-22 ... -2.74582615e-22
  3.64868390e-22 -3.07363252e-22]",1
12,"[ 1.29160351e-22 -1.80266084e-22 -1.54683321e-22 ...  1.03979253e-22
 -1.26131680e-22 -1.85979955e-22]",0
13,"[-2.74734144e-22  3.47812875e-22 -2.01927924e-22 ... -1.58207978e-22
 -5.59275239e-23 -8.61148259e-23]",0
14,"[-3.44859867e-22  2.23378457e-22 -1.93310480e-23 ...  2.24871158e-23
 -1.23868672e-22 -3.01920818e-22]",1
15,"[-2.34845994e-22 -2.18848429e-22  9.85594658e-23 ...  1.29434054e-22
  3.18477772e-22 -4.61440410e-23]",1
16,"[ 1.13497937e-23 -3.13215617e-23 -4.66700181e-23 ...  5.44196134e-25
  1.22453152e-22 -3.85244539e-23]",1
17,"[ 2.90278495e-24  1.41233269e-22 -1.61430036e-22 ...  7.69153211e-23
  3.15576058e-22 -2.10811576e-22]",1
18,"[ 4.81520679e-22 -2.55475029e-23 -2.50137114e-23 ...  3.66541553e-22
  1.05292464e-22 -2.74841969e-22]",1
19,"[ 2.29731342e-22 -9.28551648e-23 -3.05257751e-23 ...  1.15580757e-22
  1.48244119e-22  1.02439071e-22]",0
20,"[ 3.69689609e-22  5.52580083e-23 -3.05724119e-22 ...  1.49199269e-22
 -3.34941234e-22  1.35752282e-23]",0
21,"[-2.39182370e-24  3.37071673e-22 -1.27390575e-23 ... -7.51715755e-23
 -1.76861290e-22  4.45683939e-22]",1
22,"[ 3.29894045e-22 -2.29423142e-22 -2.13926472e-23 ...  4.20527213e-23
  4.45091591e-22 -3.20465003e-22]",1
23,"[-2.41565551e-23  3.93793169e-22 -6.30051934e-22 ... -5.89284228e-23
 -3.65083600e-22 -1.25109561e-23]",1
24,"[-2.65863343e-22 -6.87187432e-23  6.36791786e-23 ...  2.64210129e-22
  4.69482413e-22 -4.32587185e-22]",1
25,"[ 1.36476004e-22 -8.24019734e-23  8.25614218e-23 ... -1.17680869e-22
 -3.25660121e-22  2.32405820e-22]",1
26,"[ 5.11208226e-23  9.55409572e-23  2.05329436e-22 ...  4.27951020e-23
 -1.38970813e-22  1.06191040e-22]",0
27,"[ 1.24293513e-22  9.86509490e-23 -2.07514102e-22 ...  1.06853330e-22
 -1.34657818e-22  1.90054356e-22]",0
28,"[-4.27679046e-23  6.11307772e-24  2.30906071e-23 ... -6.71785949e-23
 -3.30289602e-23  1.11856527e-23]",1
29,"[ 3.99577024e-22 -7.25907400e-23 -1.18764113e-22 ... -1.17268078e-22
  6.96311903e-23 -2.08776575e-22]",1
30,"[-1.14357862e-22 -3.90931310e-23 -6.52886709e-23 ...  1.04031702e-23
  4.14322827e-23 -2.48327019e-23]",1
31,"[-3.71275833e-22  1.62108620e-22 -2.10562915e-22 ...  2.54032478e-22
 -1.76240828e-23 -1.77533902e-22]",1
32,"[-3.33885065e-23  7.66558417e-23  1.12355496e-22 ...  6.32935832e-23
  5.84063722e-23  5.21175282e-24]",1
33,"[-2.85922392e-23  1.22529509e-23  1.24335238e-22 ... -5.79885484e-23
 -2.22180594e-23  1.08638636e-22]",0
34,"[-9.34817786e-23  6.96588933e-23 -1.11331441e-22 ...  5.15483247e-23
 -8.25641342e-23  1.56850663e-22]",0
35,"[-4.26550639e-22  1.43119759e-22  1.16387215e-22 ... -2.19618449e-22
  5.48739116e-22 -5.48770239e-22]",1
36,"[-9.77302835e-23  2.22062234e-22 -3.46528682e-23 ... -4.71853096e-22
  2.89258877e-22  8.43221489e-23]",1
37,"[ 3.59079095e-22 -2.24229105e-22  2.93390303e-22 ...  2.28646841e-22
 -2.74487147e-22  2.31763306e-22]",1
38,"[ 1.11608737e-22  2.61708433e-22 -9.39341853e-23 ... -1.54455738e-22
  2.69501890e-22 -4.91587815e-23]",1
39,"[ 1.05857312e-22 -2.01720291e-22  1.29420859e-22 ... -7.55321751e-23
  1.43692239e-22  2.98300504e-23]",1
40,"[-4.91839222e-23 -2.96654267e-22  5.25612222e-24 ...  5.87368247e-23
  7.20359514e-23  6.68747499e-23]",0
41,"[ 2.24568632e-22 -2.90385924e-22  1.35643841e-23 ...  1.16802039e-22
 -2.49345564e-22  4.22376220e-22]",0
42,"[-8.61965724e-23 -2.47368530e-23  6.92327372e-23 ...  3.68439307e-23
  9.30210634e-23  7.57879866e-23]",1
43,"[ 1.70916098e-22 -2.34501606e-22 -9.23480621e-23 ...  1.33108910e-22
  7.36303060e-23 -1.12584335e-22]",1
44,"[ 2.67276805e-22 -1.47447095e-22 -8.31640201e-23 ... -1.09223207e-22
 -8.36193737e-23  2.53023278e-22]",1
45,"[-1.97070629e-22 -3.91286180e-23 -4.03451722e-22 ...  6.34852856e-23
 -5.53291377e-22  6.11940309e-22]",1
46,"[ 6.93132951e-23  1.73831764e-22 -1.79983664e-22 ... -2.34522396e-22
 -1.16557312e-22 -7.79001767e-23]",1
47,"[ 1.41770793e-22 -2.14713348e-22  2.21152912e-22 ...  2.81185162e-22
 -3.43497401e-22 -1.94434859e-22]",0
48,"[-1.50342485e-22  1.86255493e-22 -1.30980395e-22 ...  1.74887018e-22
  9.01953694e-23 -2.19075736e-22]",0
49,"[ 2.36226804e-22 -2.45477626e-23 -5.07376357e-22 ... -1.02017749e-22
 -9.39318111e-23  3.58813731e-22]",1
50,"[-1.74561924e-22  4.16576632e-22 -2.40368503e-22 ... -6.34379154e-23
  3.61076996e-22 -1.19739414e-22]",1
51,"[ 1.05813063e-22 -2.64387889e-22  1.13975361e-22 ... -1.02804840e-22
  9.89409058e-23  1.53664895e-22]",1
52,"[ 9.00126985e-23 -8.22936175e-23 -7.56408148e-23 ...  2.62980060e-23
 -9.05751164e-23  1.42058469e-22]",1
53,"[-2.82459365e-23  1.24484632e-22 -2.06867492e-22 ...  1.09603093e-22
  1.88415758e-22  6.01292600e-23]",1
54,"[ 1.56874651e-22 -1.93967277e-22  1.89125627e-22 ... -4.04357999e-23
 -1.34461453e-22 -1.00531223e-23]",0
55,"[ 4.45577031e-23 -1.17039977e-22  1.02686474e-22 ... -8.18135817e-23
 -2.05357383e-23 -1.46662607e-22]",0
56,"[ 1.45772318e-22 -9.68142742e-23  1.77627305e-22 ... -1.43686489e-23
 -5.48096637e-23  7.95706769e-23]",1
57,"[-2.39720048e-22  4.55072869e-22 -7.70670231e-23 ... -3.17363267e-22
  2.69515880e-22  6.54272443e-23]",1
58,"[ 1.30983591e-22 -1.62665734e-22  4.11118722e-23 ...  1.78654016e-22
  4.05059333e-23  1.07730647e-22]",1
59,"[-9.14341104e-23 -2.15395307e-22  3.20623118e-22 ...  1.80673491e-22
 -1.49955629e-22 -3.01983216e-22]",1
60,"[ 5.80861522e-23 -2.11847974e-22 -8.09102733e-25 ... -5.33443011e-23
  9.47471354e-23 -2.78464169e-23]",1
61,"[ 3.57030540e-23  1.46536261e-22 -8.25440313e-23 ...  5.97458902e-23
 -1.33852749e-23 -9.61131352e-23]",0
62,"[ 2.02475802e-24  8.88454336e-23 -1.38546188e-22 ... -1.32836327e-22
  2.44662995e-23  1.02300891e-22]",0
63,"[-3.40941946e-22 -4.57535537e-23  3.87167913e-23 ... -2.43061880e-22
 -6.28955702e-23  3.77820518e-24]",1
64,"[-4.84171932e-23  1.39104571e-23 -3.48113698e-23 ...  1.10831574e-23
 -1.65587787e-23 -1.31428692e-22]",1
65,"[ 1.81148373e-22 -2.00230972e-22 -2.39877830e-22 ... -3.99772596e-23
  1.48825124e-22 -1.23493543e-22]",1
66,"[-1.49769512e-22  7.43633459e-23 -1.54825023e-23 ...  1.67461531e-22
  2.71899846e-22 -8.52893900e-25]",1
67,"[-6.77819526e-23 -1.40453469e-22 -3.12226871e-23 ...  1.93056973e-22
 -3.38422882e-23  7.27314059e-24]",1
68,"[-7.59572542e-23 -3.13159737e-23 -8.33879104e-23 ...  7.10742819e-23
 -4.01583556e-23  7.72901747e-23]",0
69,"[-7.02574229e-23  8.95443465e-23 -1.15530492e-22 ...  1.20660974e-22
 -1.60276898e-22  2.27916550e-22]",0
70,"[-6.95674790e-23  2.10452120e-22 -1.42451761e-22 ... -6.90968320e-23
  2.70165449e-23  2.03354833e-23]",1
71,"[ 5.36659289e-23  3.24923535e-23 -5.71079008e-23 ... -1.17744454e-22
 -4.06568800e-23 -4.84285078e-23]",1
72,"[-3.45357713e-22  1.63531741e-22  1.19740310e-22 ...  8.06482535e-23
  2.21313359e-22 -9.65260551e-23]",1
73,"[-2.85563520e-22 -5.48584381e-23 -2.42832866e-22 ...  1.05494834e-22
  1.71398071e-22  1.15177942e-22]",1
74,"[-3.15202882e-22  3.14121307e-22 -5.04317807e-23 ...  1.46665595e-22
  6.13816694e-23  1.13646542e-22]",1
